name	category	kind	description	location_raw	city	lat	lng	gallery_space_m2	gallery_space_sqft	year_established	year_established_raw
Parc de la maison alsacienne				Reichstett							
Musée du Cristal				Saint-Louis-lès-Bitche							
Musée régional de l'Alsace Bossue				Sarre-Union							
Tour du télégraphe Chappe du Haut-Barr				Saverne							
Musée du château des Rohan				Saverne							
Mémorial de l'Alsace-Moselle				Schirmeck							
Musée de la Côte du château de Schirmeck				Schirmeck							
Bibliothèque humaniste				Sélestat							
Maison du pain d'Alsace				Sélestat							
Musée Krumacker d'archéologie				Seltz							
Cabinet des estampes et des dessins				Strasbourg							
Musée Tomi Ungerer				Strasbourg							
Musée alsacien				Strasbourg							
Musée archéologique				Strasbourg							
Musée d'art moderne et contemporain				Strasbourg							
Musée de l’Œuvre Notre-Dame				Strasbourg							
Musée des Arts décoratifs				Strasbourg							
Musée des Beaux-Arts de Strasbourg				Strasbourg							
Musée historique de Strasbourg				Strasbourg							
Musée zoologique				Strasbourg							
Musée de minéralogie				Strasbourg							
Musée de sismologie et de magnétisme terrestre				Strasbourg							
Naviscope Alsace				Strasbourg							
Planétarium de Strasbourg				Strasbourg							
Maison du Kochersberg				Truchtersheim							
Musée du pain				Uhlwiller							
Musée Jean-Frédéric Oberlin				Waldersbach							
Maison de l'histoire et des traditions de la Haute-Moder				Wimmenau							
Musée Lalique				Wingen-sur-Moder							
Musée Pierre Jost				Wissembourg							
Musée Westercamp				Wissembourg							
Musée de la Bataille du 6 août 1870				Wœrth							
Musée sundgauvien				Altkirch							
Musée de la Porte de Thann				Cernay							
Musée d'Unterlinden				Colmar							
Musée Bartholdi				Colmar							
Musée d'histoire naturelle et d'ethnographie				Colmar							
Musée du jouet				Colmar							
Musée des usines municipales				Colmar							
Musée du Florival				Guebwiller							
Musée de la Schlitte et des métiers du bois				Muhlbach-sur-Munster							
Cité de l'automobile - Collection Schlumpf				Mulhouse							
Musée Français du Chemin de Fer				Mulhouse							
Électropolis				Mulhouse							
Musée des Beaux-Arts de Mulhouse				Mulhouse							
Musée historique de Mulhouse				Mulhouse							
Musée de l'impression sur étoffe				Mulhouse							
Musée du papier peint				Rixheim							
Musée du bailliage de Rouffach				Rouffach							
Musée d'art contemporain Fernet Branca				Saint-Louis							
Manufacture royale de Bains-les-Bains				Bains-les-Bains							
Musée Henri Mathieu				Bruyères							
Musée du Chapitre				Épinal							
Musée de l'image				Épinal							
Musée départemental d'Art ancien et contemporain				Épinal							
Broderie de Fontenoy-le-Château											
Musée de la lutherie				Mirecourt							
Musée de la Lutherie et de l'Archèterie françaises				Mirecourt							
Musée Pierre-Noël de Saint-Dié-des-Vosges				Saint-Dié-des-Vosges							
Écomusée vosgien de la brasserie				Ville-sur-Illon							
Musée militaire de Vincey				Vincey							
Fort Napoléon des Saintes				Terre-de-Haut Island							
Musée de la Coopération franco-américaine				Blérancourt							
Musée de la Résistance et de la Déportation de Picardie (Fargniers)				Tergnier							
Cité Internationale de la Langue Française				Villers-Cotterêts							
Musée de la Société d'archéologie				Avesnes-sur-Helpe							
Musée Benoît-de-Puydt				Bailleul							
Musée municipal				Bergues							
Musée des Évolutions				Bousies							
Musée des Beaux-Arts de Cambrai				Cambrai							
Musée Matisse				Le Cateau-Cambrésis							
Musée de la Chartreuse				Douai							
Lieu d'Art et d'Action Contemporaine				Dunkirk							
Musée des Beaux-Arts				Dunkirk							
Musée portuaire				Dunkirk							
Musée du Dessin et de l'Estampe original				Gravelines							
Centre d'art sacré contemporain				Lille							
Muséum d'histoire naturelle				Lille							
Maison de l'Architecture et de la Ville				Lille							
Musée des canonniers				Lille							
Hospice Comtesse				Lille							
La Piscine, Musée d'art et d'industrie				Roubaix							
Manufacture des Flandres / Musée du Jacquard				Roubaix							
Musée des Beaux-Arts				Tourcoing							
Verlaine Message Museum				Tourcoing							
Musée des Beaux-Arts				Valenciennes							
Musée d'Art Moderne Lille Métropole				Villeneuve-d'Ascq							
Musée départemental de l'Oise				Beauvais							
Musée de la tapisserie				Beauvais							
Musée Condé				Chantilly							
Musée Vivant du Cheval				Chantilly							
Musée du château de Compiègne				Compiègne							
Musée national de la voiture et du tourisme				Compiègne							
Musée de la maquette				Compiègne							
La Cité des bateliers				Longueil-Annel							
Château de Pierrefonds				Pierrefonds							
Musée des Beaux-Arts				Arras							
Carrière Wellington				Arras							
Musée d'Ethnologie Régionale de Béthune				Béthune							
Musée des Beaux-Arts et de la Dentelle de Calais				Calais							
Musée d'Archéologie Quentovic				Étaples							
