lat,lon
45.647917,-1.118361
43.399583,-4.422472
43.298750,-8.729194
41.309972,-8.744667
43.427472,4.827833
41.221250,13.756639
41.932083,15.897444
44.881667,13.803694
43.162083,17.227500
41.396194,19.427444
38.499972,21.085361
36.557472,22.482111
39.338306,23.009528
44.956222,29.096639
46.847861,31.984139
45.837889,33.455861
44.814528,34.833306
46.115389,35.136639
46.940806,37.388750
38.290389,26.275806
37.246222,27.633278
36.768722,27.583306
36.728333,28.623694
36.711194,29.005000
36.447917,34.144167
36.763694,34.563333
37.050389,28.324944
38.513722,26.888306
40.403694,28.331611
41.098694,30.735000
42.094556,34.987500
40.937083,38.186639
42.157500,41.695361
46.128750,38.324972
45.675444,34.938333
56.570000,-5.384167
58.254583,-5.238306
57.644139,-3.584139
52.965389,0.989972
51.407056,4.081583
52.485778,5.064056
53.332250,7.195361
53.887889,9.223278
39.268306,121.651222
38.712889,125.446667
37.815028,125.496278
37.010389,126.433389
44.803306,136.371250
53.568778,142.966667
52.402056,141.664944
55.870833,137.144222
59.317056,143.003333
59.384139,146.750833
59.556639,150.897500
59.151333,153.309333
59.470806,154.350889
54.664139,155.674167
51.928306,156.482444
54.585361,161.149972
58.015000,161.987417
58.380806,162.140806
58.101611,161.992444
56.693722,162.925000
59.559528,160.604917
47.357708,-122.805077
46.993056,-124.167278
47.865500,-124.562861
45.278361,-123.962694
40.534139,-124.375000
37.571639,-122.519639
32.953889,-117.270000
27.751472,-114.149917
31.807333,-114.851694
28.465861,-111.711639
25.987083,-109.422556
23.578194,-106.695944
20.446889,-105.634944
50.268333,-65.999194
59.992972,-65.120611
59.692611,-77.573083
58.256167,-77.652250
59.827472,5.710778
58.936222,6.023306
59.146639,11.215750
57.848333,11.674139
59.268333,18.330750
58.964556,23.516639
54.953722,20.448333
54.234528,15.808306
56.981250,10.236583
55.451250,8.511611
54.599944,-8.155861
53.206222,-8.923361
57.270417,-5.593306
56.165833,-4.917583
54.100833,-3.240889
51.723361,-4.307556
50.365417,-4.166722
49.017444,-1.497139
47.898306,-3.995417
46.111250,-1.143389
43.434972,-3.778722
43.094167,-9.184611
40.516639,-8.783750
43.327056,5.049167
41.280389,13.258361
41.729556,16.105750
44.822056,13.883333
43.000389,17.465806
40.882861,19.470750
38.407500,21.359583
36.801194,22.688361
40.531639,22.738694
45.303306,29.749583
46.574556,32.215806
45.652889,32.943278
45.106250,35.688361
46.517889,35.651667
38.923722,26.889139
37.330833,27.483750
36.628333,28.078722
36.204583,29.632444
36.095833,33.122028
36.709972,35.642917
35.857944,35.813222
34.377833,35.738417
35.155778,35.925278
36.219972,35.847111
39.567889,26.801694
40.726222,29.815000
41.986222,33.242472
41.244528,36.409139
41.005361,39.770806
45.841639,37.877111
45.722083,34.779111
40.275000,18.429583
58.574583,-3.958361
55.955000,-2.392583
50.277500,1.539111
51.654528,4.133306
52.850389,5.446583
53.567028,8.431583
40.706222,122.174139
39.931639,123.625444
38.197889,124.824167
37.299528,126.804139
36.712500,126.295389
48.809139,140.241250
53.075000,140.809167
51.699583,141.768333
55.286639,136.144167
58.349944,140.867500
59.371250,144.341667
59.386667,148.914194
59.275389,152.059944
59.138306,154.345861
53.111639,156.105833
52.890000,158.619194
54.352500,160.380806
56.502472,163.257472
57.437083,162.906611
57.168306,162.777500
58.017056,158.246639
49.315389,-123.147556
47.183033,-122.586632
48.247889,-124.699306
48.162861,-123.757639
45.505056,-123.883250
39.754583,-123.839889
36.963361,-121.897750
32.568306,-117.134917
27.807556,-114.766694
31.581556,-114.327528
27.603583,-110.629361
25.695833,-109.230444
21.741333,-105.495500
15.492944,-93.224194
49.161222,-66.414250
51.087444,-58.687500
59.337500,-65.531500
58.776083,-78.496028
56.960528,-76.564806
54.425417,-79.473444
59.142889,6.174972
59.330806,10.752500
57.595833,11.915861
59.072056,18.264889
59.224556,23.606667
54.662111,20.124972
54.389167,12.432528
57.000806,8.429111
55.172028,-7.891722
53.647472,-9.885861
