Airline ID,Departure,Destination,distance_km,distance_mi
3M,MCO,GNV,168.5,104.7
3M,MCO,MCN,524.3,325.8
3M,MCO,MHH,468.2,290.9
3M,MCO,PNS,612.7,380.7
3M,MCO,RSW,215.1,133.6
3M,MCO,TLH,366.9,228.0
3M,MEI,ATL,428.5,266.3
3M,MHH,FLL,309.8,192.5
3M,MHH,JAX,631.2,392.2
3M,MHH,MCO,468.2,290.9
3M,MHH,PBI,300.1,186.5
3M,MSL,ATL,317.6,197.3
3M,PBI,ELH,366.3,227.6
3M,PBI,MHH,300.1,186.5
3M,PBI,TPA,280.4,174.2
3M,PIB,ATL,519.4,322.8
3M,PNS,MCO,612.7,380.7
3M,PNS,TPA,530.1,329.4
3M,RSW,EYW,220.2,136.8
3M,RSW,MCO,215.1,133.6
3M,TCB,FLL,285.0,177.1
3M,TLH,MCO,366.9,228.0
3M,TLH,TPA,321.8,200.0
3M,TPA,EYW,388.0,241.1
3M,TPA,FLL,316.8,196.9
3M,TPA,GNV,192.3,119.5
3M,TPA,JAX,291.8,181.3
3M,TPA,PBI,280.4,174.2
3M,TPA,PNS,530.1,329.4
3M,TPA,TLH,321.8,200.0
3M,TUP,ATL,406.5,252.6
3M,TUP,GLH,222.4,138.2
3O,AMS,NDR,2022.5,1256.7
3O,AMS,TNG,2027.0,1259.5
3O,BCN,CMN,1226.5,762.1
3O,BCN,NDR,831.2,516.5
3O,BCN,TNG,930.7,578.3
3O,BGY,CMN,2010.1,1249.0
3O,BLQ,CMN,2042.7,1269.3
3O,BRU,CMN,2182.7,1356.2
3O,BRU,NDR,1869.7,1161.8
3O,BRU,TNG,1881.2,1169.0
3O,CGN,NDR,1945.7,1209.0
3O,CMN,BCN,1226.5,762.1
3O,CMN,BGY,2010.1,1249.0
3O,CMN,BLQ,2042.7,1269.3
3O,CMN,BRU,2182.7,1356.2
3O,CMN,CUF,1804.3,1121.1
3O,CMN,LGW,2066.2,1283.9
3O,CMN,LYS,1747.2,1085.7
3O,CMN,MPL,1513.6,940.5
3O,CMN,SAW,3349.8,2081.5
3O,CMN,TLS,1379.8,857.4
3O,CMN,TSF,2168.0,1347.2
3O,CUF,CMN,1804.3,1121.1
3O,FEZ,MPL,1322.0,821.4
3O,LGW,CMN,2066.2,1283.9
3O,LGW,TNG,1774.6,1102.7
3O,LYS,CMN,1747.2,1085.7
3O,MPL,CMN,1513.6,940.5
3O,MPL,FEZ,1322.0,821.4
3O,MPL,NDR,1127.7,700.7
3O,NDR,AMS,2022.5,1256.7
3O,NDR,BCN,831.2,516.5
3O,NDR,BRU,1869.7,1161.8
3O,NDR,CGN,1945.7,1209.0
3O,NDR,MPL,1127.7,700.7
3O,NDR,PMI,719.3,446.9
3O,PMI,NDR,719.3,446.9
3O,SAW,CMN,3349.8,2081.5
3O,TLS,CMN,1379.8,857.4
3O,TNG,AMS,2027.0,1259.5
3O,TNG,BCN,930.7,578.3
3O,TNG,BRU,1881.2,1169.0
3O,TNG,LGW,1774.6,1102.7
3O,TSF,CMN,2168.0,1347.2
3P,AUA,LSP,81.5,50.6
3P,AUA,MAR,285.5,177.4
3P,BON,CUR,75.4,46.9
3P,CUR,AUA,119.8,74.4
3P,LSP,AUA,81.5,50.6
3P,MAR,AUA,285.5,177.4
3R,ASF,DME,1235.2,767.5
3R,ASF,LED,1902.1,1181.9
3R,BHK,DME,2615.7,1625.3
3R,DME,ASF,1235.2,767.5
3R,DME,BHK,2615.7,1625.3
3R,DME,EGO,537.1,333.7
3R,DME,FEG,2982.4,1853.2
3R,DME,KSQ,2775.1,1724.3
3R,DME,NMA,2921.9,1815.6
3R,DME,NVI,2624.2,1630.6
3R,DME,SKD,2760.3,1715.2
3R,DME,TIV,2001.1,1243.4
3R,EGO,DME,537.1,333.7
3R,FEG,DME,2982.4,1853.2
3R,KSQ,DME,2775.1,1724.3
3R,LED,ASF,1902.1,1181.9
3R,NMA,DME,2921.9,1815.6
3R,NVI,DME,2624.2,1630.6
3R,SKD,DME,2760.3,1715.2
3R,TIV,DME,2001.1,1243.4
3S,ANU,PTP,100.8,62.6
3S,CAY,FDF,1440.6,895.2
3S,CUR,SDQ,698.1,433.8
3S,DOM,PTP,83.6,52.0
3S,DOM,SXM,337.6,209.8
3S,FDF,CAY,1440.6,895.2
3S,FDF,PTP,194.6,120.9
3S,FDF,SDQ,1017.4,632.2
3S,FDF,SLU,63.5,39.4
3S,PTP,ANU,100.8,62.6
3S,PTP,DOM,83.6,52.0
3S,PTP,FDF,194.6,120.9
3S,PTP,SBH,229.5,142.6
3S,PTP,SDQ,896.4,557.0
3S,PTP,SFG,259.9,161.5
3S,PTP,SXM,259.0,160.9
3S,SBH,PTP,229.5,142.6
3S,SDQ,PTP,896.4,557.0
3S,SDQ,SXM,694.1,431.3
3S,SFG,PTP,259.9,161.5
3S,SLU,FDF,63.5,39.4
3S,SXM,DOM,337.6,209.8
3S,SXM,PTP,259.0,160.9
3S,SXM,SDQ,694.1,431.3
3U,BHY,XIY,1436.3,892.4
3U,CAN,CKG,965.6,600.0
3U,CAN,CTU,1222.6,759.7
3U,CAN,SPN,3517.6,2185.7
3U,CGO,CGQ,1463.4,909.3
3U,CGO,CKG,862.5,535.9
3U,CGO,CTU,1025.0,636.9
3U,CGO,HGH,781.3,485.5
3U,CGO,HRB,1620.7,1007.0
3U,CGO,KMG,1483.0,921.5
3U,CGO,URC,2485.6,1544.5
3U,CGQ,CGO,1463.4,909.3
3U,CGQ,NKG,1487.1,924.0
3U,CGQ,TNA,1068.4,663.9
3U,CGQ,TSN,879.5,546.5
3U,CKG,CAN,965.6,600.0
3U,CKG,CGO,862.5,535.9
3U,CKG,CSX,662.1,411.4
3U,CKG,CTU,276.2,171.6
3U,CKG,CZX,1277.3,793.7
3U,CKG,DLC,1707.2,1060.8
3U,CKG,DYG,374.5,232.7
3U,CKG,HAK,1153.9,717.0
3U,CKG,HGH,1328.9,825.7
3U,CKG,HKT,2554.7,1587.4
3U,CKG,INC,,
3U,CKG,KHN,902.6,560.8
3U,CKG,KMG,630.7,391.9
3U,CKG,LHW,806.3,501.0
3U,CKG,LJG,711.9,442.4
3U,CKG,LXA,1521.8,945.6
3U,CKG,NGB,1429.4,888.2
3U,CKG,NKG,1188.8,738.7
3U,CKG,NNG,805.3,500.4
3U,CKG,PEK,1464.0,909.7
3U,CKG,PVG,1461.2,908.0
3U,CKG,PZI,592.0,367.8
3U,CKG,SWA,1195.4,742.8
3U,CKG,SYD,8485.0,5272.3
3U,CKG,SYX,1300.1,807.8
3U,CKG,SZX,1063.1,660.6
3U,CKG,TNA,1261.9,784.1
3U,CKG,TSA,1558.6,968.5
3U,CKG,TSN,1432.3,890.0
3U,CKG,TYN,1049.7,652.3
3U,CKG,URC,2313.2,1437.3
3U,CKG,WUH,736.2,457.4
3U,CKG,WUX,1333.2,828.4
3U,CKG,XIY,562.0,349.2
3U,CKG,XNN,869.5,540.3
3U,CKG,YIH,474.4,294.8
3U,CKG,ZHA,1016.4,631.6
3U,CSX,CKG,662.1,411.4
3U,CSX,CTU,936.6,582.0
3U,CSX,FOC,685.3,425.8
3U,CSX,KMG,1078.4,670.1
3U,CSX,SHE,1761.2,1094.4
3U,CSX,WNZ,749.5,465.7
3U,CSX,XMN,635.0,394.6
3U,CTU,CAN,1222.6,759.7
3U,CTU,CGO,1025.0,636.9
3U,CTU,CKG,276.2,171.6
3U,CTU,CSX,936.6,582.0
3U,CTU,DCY,400.2,248.7
3U,CTU,DSN,1127.1,700.3
3U,CTU,HAK,1351.8,840.0
3U,CTU,HDG,1173.7,729.3
3U,CTU,HET,1344.2,835.2
3U,CTU,HFE,1276.3,793.1
3U,CTU,HGH,1580.2,981.9
3U,CTU,HKG,1351.7,839.9
3U,CTU,HKT,2565.7,1594.3
3U,CTU,ICN,2204.2,1369.6
3U,CTU,INC,,
3U,CTU,JHG,1008.0,626.3
3U,CTU,JIQ,484.8,301.2
3U,CTU,JZH,254.2,157.9
3U,CTU,KHN,1169.3,726.6
3U,CTU,KMG,617.1,383.5
3U,CTU,KOW,1183.4,735.4
3U,CTU,KWE,528.6,328.5
3U,CTU,LHW,660.8,410.6
3U,CTU,LJG,564.2,350.6
3U,CTU,LUM,869.8,540.5
3U,CTU,LXA,1263.4,785.0
3U,CTU,LZY,936.6,582.0
3U,CTU,MEL,8697.5,5404.3
3U,CTU,NKG,1424.0,884.8
3U,CTU,NNG,980.5,609.3
3U,CTU,PEK,1556.1,966.9
3U,CTU,PVG,1703.9,1058.7
3U,CTU,PZI,495.6,308.0
3U,CTU,SHE,2134.8,1326.5
3U,CTU,SJW,1304.3,810.4
3U,CTU,SYX,1472.2,914.8
3U,CTU,SZX,1318.3,819.1
3U,CTU,TAO,1647.7,1023.8
3U,CTU,TNA,1410.0,876.1
3U,CTU,TSA,1833.9,1139.5
3U,CTU,TSN,1545.6,960.4
3U,CTU,TYN,1127.4,700.5
3U,CTU,URC,2071.5,1287.2
3U,CTU,WNZ,1665.0,1034.6
3U,CTU,WUH,981.2,609.7
3U,CTU,WUX,1572.2,976.9
3U,CTU,WXN,429.6,267.0
3U,CTU,XIC,334.9,208.1
3U,CTU,XIY,622.8,387.0
3U,CTU,XMN,1548.9,962.4
3U,CTU,XNN,684.6,425.4
3U,CTU,XUZ,1334.8,829.4
3U,CTU,YIH,721.1,448.1
