name,lat,lon,country_code,feature_code
Marley Beach,-34.114720,151.141530,AU,BCH
Shellharbour North Beach,-34.572170,150.868720,AU,BCH
Whitehaven Beach,-20.281110,149.037780,AU,BCH
South Melbourne beach,-37.848120,144.947930,AU,BCH
Alexandria Bay,-26.386100,153.115340,AU,BCH
Little Cove,-26.384390,153.095830,AU,BCH
Samurai Beach,-32.764900,152.127340,AU,BCH
Bindijine Beach,-35.052420,150.780000,AU,BCH
Back Beach,-30.882100,153.034610,AU,BCH
Aragunnu Beach,-36.590200,150.051190,AU,BCH
Avalon Beach,-33.631800,151.317900,AU,BCH
Austinmer Beach,-34.305910,150.935310,AU,BCH
Aslings Beach,-37.048500,149.917890,AU,BCH
Andersons Beach,-29.429980,153.363240,AU,BCH
Angels Beach,-28.848500,153.601200,AU,BCH
Airforce Beach,-29.098500,153.434600,AU,BCH
Abrahams Bosom Beach,-35.018170,150.844350,AU,BCH
Bagnalls Beach,-32.715200,152.117910,AU,BCH
Balmoral Beach,-33.827250,151.252210,AU,BCH
Banks Beach,-32.731800,152.051190,AU,BCH
Baragoot Beach,-36.481800,150.051190,AU,BCH
Bar Beach,-36.890200,149.917890,AU,BCH
Bar Beach,-36.215200,150.134600,AU,BCH
Bar Beach,-32.940200,151.767900,AU,BCH
Barfleur Beach,-35.065200,150.684600,AU,BCH
Barlings Beach,-35.831800,150.201200,AU,BCH
Barrenjoey Beach,-33.590200,151.326200,AU,BCH
Bartletts Beach,-31.581800,152.834600,AU,BCH
Basin Beach,-33.665200,151.317900,AU,BCH
Bawley Beach,-35.505120,150.392960,AU,BCH
Beares Beach,-36.431800,150.084600,AU,BCH
Beilbys Beach,-30.648500,153.017900,AU,BCH
Bellambi Beach,-34.365200,150.917890,AU,BCH
Bennetts Beach,-32.681800,152.192900,AU,BCH
Beswicks Beach,-28.923500,153.536000,AU,BCH
Boat Harbour Beach,-35.245130,150.538380,AU,BCH
Boat Beach,-32.435400,152.531480,AU,BCH
Boambee Beach,-30.331800,153.117910,AU,BCH
Bluff Beach,-29.381800,153.367910,AU,BCH
Blenheim Beach,-35.081800,150.684600,AU,BCH
Blackwoods Beach,-34.060730,151.157130,AU,BCH
Blacksmiths Beach,-33.081800,151.659610,AU,BCH
Black Head Beach,-32.065200,152.534610,AU,BCH
Black Beach,-34.665200,150.851200,AU,BCH
Birdie Beach,-33.215200,151.601200,AU,BCH
Bingie Beach,-36.031800,150.151200,AU,BCH
Bogangar Beach,-28.315200,153.567900,AU,BCH
Bombo Beach,-34.656800,150.851200,AU,BCH
Bongon Beach,-33.181800,151.617910,AU,BCH
Boulder Beach,-28.815200,153.601200,AU,BCH
Bournda Beach,-36.815200,149.942900,AU,BCH
Box Beach,-32.731440,152.182060,AU,BCH
Boydtown Beach,-37.081800,149.867910,AU,BCH
Bradleys Beach,-33.531800,151.234600,AU,BCH
Brandy Creek Beach,-37.081800,149.867910,AU,BCH
Brays Beach,-28.715200,153.617910,AU,BCH
Broadwater Beach,-29.031800,153.467900,AU,BCH
Broken Head Beach,-28.698500,153.601200,AU,BCH
Bronte Beach,-33.903410,151.268390,AU,BCH
Brou Beach,-36.131800,150.117910,AU,BCH
Broulee Beach,-35.848500,150.167890,AU,BCH
Brow Beach,-36.131800,150.117910,AU,BCH
Buckleys Beach,-35.286480,150.482350,AU,BCH
Bulgo Beach,-34.216030,151.010730,AU,BCH
Callala Beach,-35.015200,150.701200,AU,BCH
Campbells Beach,-30.248500,153.151200,AU,BCH
Canton Beach,-33.273500,151.534610,AU,BCH
Caseys Beach,-35.731800,150.201200,AU,BCH
Castle Rock Beach,-33.811750,151.259280,AU,BCH
Cat and Kitten Beach,-35.531800,150.401200,AU,BCH
Chinamans Beach,-35.094140,150.693200,AU,BCH
Chinamans Beach,-33.814100,151.248160,AU,BCH
Clarkes Beach,-28.640200,153.617910,AU,BCH
Clontarf Beach,-33.807170,151.251350,AU,BCH
Clovelly Beach,-33.913760,151.266680,AU,BCH
Cocora Beach,-37.065200,149.884600,AU,BCH
Coffs Harbour Beach,-30.298500,153.134600,AU,BCH
Collingwood Beach,-35.065200,150.667890,AU,BCH
Collins Beach,-33.808320,151.291290,AU,BCH
Conjola Beach,-35.271520,150.503000,AU,BCH
Convent Beach,-29.440200,153.367910,AU,BCH
Cookies Beach,-35.648500,150.284610,AU,BCH
Cormorant Beach,-35.510130,150.397420,AU,BCH
Corrigans Beach,-35.715200,150.184600,AU,BCH
Croppy Beach,-33.556800,151.251200,AU,BCH
Culburra Beach,-34.923500,150.767900,AU,BCH
Cunjurong Beach,-35.269060,150.513080,AU,BCH
Curl Curl Beach,-33.773500,151.292890,AU,BCH
Currarong Beach,-35.015200,150.817900,AU,BCH
Currawong Beach,-33.598500,151.301190,AU,BCH
Currawulla Beach,-37.081800,149.867910,AU,BCH
Cuttagee Beach,-36.498500,150.051190,AU,BCH
Dark Beach,-35.681800,150.301190,AU,BCH
Deadmans Beach,-33.181800,151.617910,AU,BCH
Dee,-35.242080,150.530980,AU,BCH
Depot Beach,-35.631800,150.317900,AU,BCH
Dunbogan Beach,-31.681800,152.817900,AU,BCH
Easts Beach,-34.681800,150.851200,AU,BCH
Edwards Beach,-33.820850,151.251080,AU,BCH
Eleanor Beach,-33.565200,151.234600,AU,BCH
Elizabeth Beach,-32.315200,152.534610,AU,BCH
Elouera Beach,-34.045700,151.159610,AU,BCH
Emily Miller Beach,-35.681800,150.301190,AU,BCH
Fairlight Beach,-33.798500,151.276200,AU,BCH
Fairy Bower Beach,-33.800830,151.293920,AU,BCH
Fiddamans Beach,-30.165200,153.201200,AU,BCH
Fingal Beach,-32.748500,152.167890,AU,BCH
Fiona Beach,-32.465200,152.434600,AU,BCH
Fisheries Beach,-37.098500,149.917890,AU,BCH
Fishermans Beach,-34.481800,150.909610,AU,BCH
Flagstaff Beach,-28.165200,153.551190,AU,BCH
Flannel Flower Beach,-33.573500,151.301190,AU,BCH
Flat Rock,-35.233980,150.530160,AU,BCH
Flint and Steel Beach,-33.573500,151.284610,AU,BCH
Forster Beach,-32.173500,152.509600,AU,BCH
Forster Beach,-30.698500,152.984600,AU,BCH
Forty Baskets Beach,-33.798500,151.267900,AU,BCH
Frazer Beach,-33.181800,151.617910,AU,BCH
Freshwater Beach,-33.781470,151.290740,AU,BCH
Front Beach,-30.881800,153.051190,AU,BCH
Gannet Beach,-35.516020,150.398540,AU,BCH
Gap Beach,-30.903590,153.081010,AU,BCH
Fullers Beach,-36.281800,150.134600,AU,BCH
Gibsons Beach,-33.846340,151.281150,AU,BCH
Graces Shore,-33.523500,151.176190,AU,BCH
Grants Beach,-31.598500,152.834600,AU,BCH
Grassy Beach,-30.781800,153.001200,AU,BCH
Groper Coast,-35.064920,150.774350,AU,BCH
Gunyah Beach,-34.082660,151.153230,AU,BCH
Gunyah Beach,-33.573500,151.242910,AU,BCH
Hargraves Beach,-33.248500,151.551190,AU,BCH
Hatchcover Beach,-29.681800,153.334600,AU,BCH
Haywards Beach,-36.398500,150.067900,AU,BCH
Opal Cove Beach,-30.248500,153.134600,AU,BCH
Honeysuckle Beach,-35.698500,150.267900,AU,BCH
Horse Shoe Beach,-32.923500,151.792890,AU,BCH
Huskisson Beach,-35.046300,150.676190,AU,BCH
Iluka Beach,-29.398500,153.367910,AU,BCH
Iron Ladder Beach,-33.540200,151.342900,AU,BCH
Island Beach,-35.565200,150.351200,AU,BCH
Jane Spiers Beach,-37.348500,149.951200,AU,BCH
Jemisons Beach,-36.098500,150.134600,AU,BCH
Jimmys Beach,-32.681800,152.201200,AU,BCH
Kendalls Beach,-34.681800,150.851200,AU,BCH
Cabbage Tree Beach,-33.798500,151.284610,AU,BCH
Coila Beach,-36.031800,150.151200,AU,BCH
Elephants Back,-33.998500,151.151200,AU,BCH
Fairy Meadow Beach,-34.398500,150.909610,AU,BCH
Farrells Beach,-33.631800,151.301190,AU,BCH
Five Mile Beach,-35.165200,150.634600,AU,BCH
Foresters Beach,-33.415200,151.476200,AU,BCH
Fosters Beach,-30.698500,152.984600,AU,BCH
Four Mile Beach,-36.398500,150.067900,AU,BCH
Great Mermaid Beach,-32.681800,152.192900,AU,BCH
Harbord Beach,-33.774560,151.293340,AU,BCH
Heads Beach,-33.081800,151.659610,AU,BCH
Kingston Beach,-35.831800,150.184600,AU,BCH
Kioloa Beach,-35.548500,150.384600,AU,BCH
Humbug,-36.715200,149.967900,AU,BCH
Jenny Dixons Beach,-33.265200,151.551190,AU,BCH
Jiguma Beach,-36.931800,149.901200,AU,BCH
Kiama Surf Beach,-34.665200,150.851200,AU,BCH
Killalea Beach,-34.598310,150.879320,AU,BCH
Killcare Beach,-33.531800,151.367910,AU,BCH
Kingsley Beach,-32.790200,152.101200,AU,BCH
Kittys Beach,-35.181800,150.684600,AU,BCH
Kiyong Beach,-34.540200,150.876200,AU,BCH
Kookabrau Beach,-35.531800,150.401200,AU,BCH
Koorbrua Beach,-35.531800,150.401200,AU,BCH
Kutti Beach,-33.847230,151.278960,AU,BCH
Kylies Beach,-31.731800,152.784610,AU,BCH
Lady Bay Beach,-33.831800,151.284610,AU,BCH
Lady Jane Beach,-33.831800,151.284610,AU,BCH
Lady Jane Martin Beach,-33.831800,151.284610,AU,BCH
Lady Martins Beach,-33.864670,151.253850,AU,BCH
Lakes Beach,-33.248500,151.551190,AU,BCH
Legges Beach,-37.065200,149.867910,AU,BCH
Lighthouse Beach,-33.286000,151.571790,AU,BCH
Lighthouse Beach,-32.448500,152.517900,AU,BCH
Little Beach,-28.634260,153.637030,AU,BCH
Little Beach,-33.173500,151.634600,AU,BCH
Little Birdie Beach,-33.198500,151.617910,AU,BCH
Little Kingsley Beach,-32.790200,152.101200,AU,BCH
Little Oakey Beach,-35.698500,150.287290,AU,BCH
Little Park Beach,-32.915200,151.792890,AU,BCH
Little Patonga Beach,-33.565200,151.267900,AU,BCH
Little Pebbly Beach,-29.681800,153.334600,AU,BCH
Little Shelley Beach,-29.515200,153.351200,AU,BCH
Little Wategos Beach,-28.634270,153.636850,AU,BCH
Little Wobby Beach,-33.548500,151.251200,AU,BCH
Loader Beach,-36.281800,150.134600,AU,BCH
Lobster Pot Beach,-32.198500,152.551190,AU,BCH
Long Beach,-35.698500,150.217900,AU,BCH
Long Beach,-36.398500,150.067900,AU,BCH
Mckenzies Beach,-35.798500,150.217900,AU,BCH
Mcbrides Beach,-32.198500,152.551190,AU,BCH
Mckittricks Beach,-29.440200,153.367910,AU,BCH
Malabar Beach,-33.963900,151.252340,AU,BCH
Manyana Beach,-35.253400,150.529220,AU,BCH
Merewether Beach,-32.948500,151.759600,AU,BCH
Merimbula Beach,-36.915200,149.917890,AU,BCH
Meringo Beach,-36.009600,150.159610,AU,BCH
Merry Beach,-35.565200,150.367910,AU,BCH
Middle Beach,-36.647400,150.010700,AU,BCH
Middle Beach,-30.769900,152.997600,AU,BCH
Middle Camp Beach,-33.148500,151.634600,AU,BCH
The Middy,-34.599500,150.892410,AU,BCH
