"REF_DATE","GEO","DGUID","Airports","Domestic and international itinerant movements","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-01","British Columbia","2016A000259","Total, all airports","Transborder movements","Number","223","units","0","v1376030825","1059.100001.2","3617","","","","0"
"2022-01","British Columbia","2016A000259","Total, all airports","Other international movements","Number","223","units","0","v1376030826","1059.100001.3","1679","","","","0"
"2022-01","British Columbia","2016A000259","Total, NAV CANADA towers and flight service stations","Domestic movements","Number","223","units","0","v1376030827","1059.100002.1","37701","","","","0"
"2022-01","British Columbia","2016A000259","Total, NAV CANADA towers and flight service stations","Transborder movements","Number","223","units","0","v1376030828","1059.100002.2","3613","","","","0"
"2022-01","British Columbia","2016A000259","Total, NAV CANADA towers and flight service stations","Other international movements","Number","223","units","0","v1376030829","1059.100002.3","1678","","","","0"
"2022-01","British Columbia","2016A000259","Total, non-NAV CANADA airports","Domestic movements","Number","223","units","0","v1376030830","1059.100003.1","1184","","","","0"
"2022-01","British Columbia","2016A000259","Total, non-NAV CANADA airports","Transborder movements","Number","223","units","0","v1376030831","1059.100003.2","4","","","","0"
"2022-01","British Columbia","2016A000259","Total, non-NAV CANADA airports","Other international movements","Number","223","units","0","v1376030832","1059.100003.3","1","","","","0"
"2022-01","Yukon","2016A000260","Total, all airports","Domestic movements","Number","223","units","0","v1376030833","1060.100001.1","1098","","","","0"
"2022-01","Yukon","2016A000260","Total, all airports","Transborder movements","Number","223","units","0","v1376030834","1060.100001.2","9","","","","0"
"2022-01","Yukon","2016A000260","Total, all airports","Other international movements","Number","223","units","0","v1376030835","1060.100001.3","","..","","","0"
"2022-01","Yukon","2016A000260","Total, NAV CANADA towers and flight service stations","Domestic movements","Number","223","units","0","v1376030836","1060.100002.1","1098","","","","0"
"2022-01","Yukon","2016A000260","Total, NAV CANADA towers and flight service stations","Transborder movements","Number","223","units","0","v1376030837","1060.100002.2","9","","","","0"
"2022-01","Yukon","2016A000260","Total, NAV CANADA towers and flight service stations","Other international movements","Number","223","units","0","v1376030838","1060.100002.3","","..","","","0"
"2022-01","Yukon","2016A000260","Total, non-NAV CANADA airports","Domestic movements","Number","223","units","0","v1376030839","1060.100003.1","","..","","","0"
